시설유형,시설명,시구동,시설수,상세주소,위도,경도,좌표출처,일치기준,기존쉼터명칭,기존쉼터_도로명주소,기존쉼터_지번주소
경로당,"벽산아파트5단지경로당, 벽산타운경로당",서울특별시 금천구 시흥동,2,금하로 816,37.448158,126.916987,서울시 무더위쉼터(시설명 일치: 벽산아파트5단지경로당),시설명,벽산아파트5단지경로당,서울특별시 금천구 금하로 816 (벽산5단지아파트 524동),서울특별시 금천구 시흥동 1013
경로당,금산경로당,서울특별시 금천구 시흥동,1,"시흥대로24길 50, 2층",37.4412742,126.9071673,서울시 무더위쉼터(시설명 일치: 금산경로당),시설명,금산경로당,서울특별시 금천구 시흥대로24길 50,서울특별시 금천구 시흥동 948-14
경로당,박산경로당,서울특별시 금천구 시흥동,1,시흥대로2길 60,37.4350423,126.9065287,서울시 무더위쉼터(시설명 일치: 박산경로당),시설명,박산경로당,서울특별시 금천구 시흥대로2길 60,서울특별시 금천구 시흥동 973
경로당,현대빌라경로당,서울특별시 금천구 시흥동,1,시흥대로 53,37.440065,126.902123,서울시 무더위쉼터(시설명 일치: 현대빌라경로당),시설명,현대빌라경로당,서울특별시 금천구 시흥대로 53 (현대빌라 8동),서울특별시 금천구 시흥동 982
경로당,신흥경로당,서울특별시 금천구 시흥동,1,금하로23길 155,37.4570322,126.9073526,서울시 무더위쉼터(시설명 일치: 신흥경로당),시설명,신흥경로당,서울특별시 금천구 금하로23길 155,서울특별시 금천구 시흥동 산 126-13
경로당,장수경로당,서울특별시 금천구 시흥동,1,독산로50길 57-1,37.4628413,126.9075398,서울시 무더위쉼터(시설명 일치: 장수경로당),시설명,장수경로당,서울특별시 금천구 시흥동 독산로50길  57-1  (시흥동),서울특별시 금천구 시흥동 8-9
경로당,한울경로당,서울특별시 금천구 시흥동,1,"독산로50마길 39-8, 101호",37.4611121,126.913054,서울시 무더위쉼터(시설명 일치: 한울경로당),시설명,한울경로당,"서울특별시 금천구 독산로50마길 39-8 (시흥동, 삼성빌라)",서울특별시 금천구 시흥동 3-33
경로당,읍내경로당,서울특별시 금천구 시흥동,1,은행나무로10길 12-1,37.4504237,126.9063177,서울시 무더위쉼터(시설명 일치: 읍내경로당),시설명,읍내경로당,서울특별시 금천구 은행나무로10길 12-1,서울특별시 금천구 시흥동 921-29
경로당,탑동경로당,서울특별시 금천구 시흥동,1,금하로23가길 14-1,37.4515244,126.9095322,서울시 무더위쉼터(시설명 일치: 탑동경로당),시설명,탑동경로당,서울특별시 금천구 금하로23가길 14-1 (시흥동),서울특별시 금천구 시흥동 828-48
경로당,백운한비치1차아파트경로당,서울특별시 금천구 시흥동,1,탑골로2길 19,37.45148,126.911863,서울시 무더위쉼터(시설명 일치: 백운한비치1차아파트경로당),시설명,백운한비치1차아파트경로당,서울특별시 금천구 탑골로2길 19 (백운한비치아파트1동),서울특별시 금천구 시흥동 1012
경로당,백운한비치2차아파트경로당,서울특별시 금천구 시흥동,1,금하로23길 52,37.453498,126.909866,서울시 무더위쉼터(시설명 일치: 백운한비치2차아파트경로당),시설명,백운한비치2차아파트경로당,서울특별시 금천구 금하로23길 52 (백운한비치Ⅱ101동),서울특별시 금천구 시흥동 1018
도서관,금천구립가산도서관,서울특별시 금천구 가산동,1,가산로5길 43,37.4734915,126.8921299,서울시 공공도서관 현황,시설명,금천구립가산도서관,서울특별시 금천구 가산로5길 43 (가산동),서울특별시 금천구 가산동 235-3
도서관,금천구립금나래도서관,서울특별시 금천구 시흥동,1,시흥대로73길 70,37.4569051,126.8953686,서울시 공공도서관 현황,도로명주소,우리은행금천구청지점,서울특별시 금천구 시흥대로73길 70 (시흥동),서울특별시 금천구 시흥동 1020
도서관,금천구립독산도서관,서울특별시 금천구 독산동,1,독산로54길 114,37.4675797,126.908105,서울시 공공도서관 현황,시설명,금천구립독산도서관(1층로비),서울특별시 금천구 독산로54길 114 (금천구립독산도서관),서울특별시 금천구 독산동 375-2
도서관,금천구립시흥도서관,서울특별시 금천구 시흥동,1,금하로 764 금천종합복지타운(시흥2동주민센터),37.4496304,126.9146113,서울시 공공도서관 현황,도로명주소,시흥2동마을활력소(늘솔나루),서울특별시 금천구 금하로 764 (시흥동),서울특별시 금천구 시흥동 267-15
보건소,금천구보건소,서울특별시 금천구 시흥동,1,1020 금천구 종합청사,37.4564983,126.8948525,서울시 무더위쉼터(지번주소 일치: 우리은행금천구청지점),지번주소,우리은행금천구청지점,서울특별시 금천구 시흥대로73길 70 (시흥동),서울특별시 금천구 시흥동 1020
보건소,금천구보건소 한내이음센터 분소,서울특별시 금천구 독산동,1,1088-1 금천한내이음센터 2층,37.457844,126.886866,서울시 무더위쉼터(지번주소 일치: 독산1동주민센터분소),지번주소,독산1동주민센터분소,서울특별시 금천구 한내로 69-15 (주공13단지아파트1315동),서울특별시 금천구 독산동 1088-1
보건소,금천구보건소 동네방네 마을이음센터 분소,서울특별시 금천구 시흥동,1,961-5 동네방네 마을이음센터 2층,37.438613,126.90431,서울시 무더위쉼터(지번주소 일치: 동네방네마을이음센터(로비)),지번주소,동네방네마을이음센터(로비),서울특별시 금천구 시흥대로12길 10-5 (남부도로사업소 청사),서울특별시 금천구 시흥동 961-5
