시설유형,시설명,시구동,시설수,상세주소,위도,경도,좌표출처
경로당,벽산아파트3단지경로당,서울특별시 금천구 시흥동,1,탑골로 84,37.4527901,126.9171617,ArcGIS 지오코딩(주소 지점 일치)
경로당,"벽산아파트5단지경로당, 벽산타운경로당",서울특별시 금천구 시흥동,2,금하로 816,37.448158,126.916987,서울시 무더위쉼터(시설명 일치: 벽산아파트5단지경로당)
경로당,벽산아파트6단지경로당,서울특별시 금천구 시흥동,1,금하로 796,37.449813,126.9156172,ArcGIS 지오코딩(주소 지점 일치)
경로당,탑스빌아파트경로당,서울특별시 금천구 시흥동,1,금하로30길 34,37.4490908,126.9159812,ArcGIS 지오코딩(주소 지점 일치)
경로당,금산경로당,서울특별시 금천구 시흥동,1,"시흥대로24길 50, 2층",37.4412742,126.9071673,서울시 무더위쉼터(시설명 일치: 금산경로당)
경로당,박산경로당,서울특별시 금천구 시흥동,1,시흥대로2길 60,37.4350423,126.9065287,서울시 무더위쉼터(시설명 일치: 박산경로당)
경로당,중앙하이츠빌라경로당,서울특별시 금천구 시흥동,1,시흥대로36길 45,37.4445032,126.906623,ArcGIS 지오코딩(주소 지점 일치)
경로당,현대빌라경로당,서울특별시 금천구 시흥동,1,시흥대로 53,37.440065,126.902123,서울시 무더위쉼터(시설명 일치: 현대빌라경로당)
경로당,신흥경로당,서울특별시 금천구 시흥동,1,금하로23길 155,37.4570322,126.9073526,서울시 무더위쉼터(시설명 일치: 신흥경로당)
경로당,장수경로당,서울특별시 금천구 시흥동,1,독산로50길 57-1,37.4628413,126.9075398,서울시 무더위쉼터(시설명 일치: 장수경로당)
경로당,한울경로당,서울특별시 금천구 시흥동,1,"독산로50마길 39-8, 101호",37.4611121,126.913054,서울시 무더위쉼터(시설명 일치: 한울경로당)
경로당,시흥경남아파트경로당,서울특별시 금천구 시흥동,1,독산로 78-1,37.4545705,126.9069992,ArcGIS 지오코딩(주소 지점 일치)
경로당,시흥금강아파트경로당,서울특별시 금천구 시흥동,1,독산로50길 57-2,37.4632371,126.9080723,ArcGIS 지오코딩(주소 지점 일치)
경로당,시흥삼익아파트경로당,서울특별시 금천구 시흥동,1,독산로50길 89,37.4626425,126.9087637,ArcGIS 지오코딩(주소 지점 일치)
경로당,읍내경로당,서울특별시 금천구 시흥동,1,은행나무로10길 12-1,37.4504237,126.9063177,서울시 무더위쉼터(시설명 일치: 읍내경로당)
경로당,탑동경로당,서울특별시 금천구 시흥동,1,금하로23가길 14-1,37.4515244,126.9095322,서울시 무더위쉼터(시설명 일치: 탑동경로당)
경로당,건영아파트경로당,서울특별시 금천구 시흥동,1,독산로10길 96,37.4499132,126.9112332,ArcGIS 지오코딩(주소 지점 일치)
경로당,관악산신도브래뉴아파트경로당,서울특별시 금천구 시흥동,1,금하로24나길 48,37.4482695,126.9110901,ArcGIS 지오코딩(주소 지점 일치)
경로당,백운한비치1차아파트경로당,서울특별시 금천구 시흥동,1,탑골로2길 19,37.45148,126.911863,서울시 무더위쉼터(시설명 일치: 백운한비치1차아파트경로당)
경로당,백운한비치2차아파트경로당,서울특별시 금천구 시흥동,1,금하로23길 52,37.453498,126.909866,서울시 무더위쉼터(시설명 일치: 백운한비치2차아파트경로당)
경로당,청광아파트경로당,서울특별시 금천구 독산동,1,1139,37.4712461,126.8941325,ArcGIS 지오코딩(주소 지점 일치)
도서관,금천구립가산도서관,서울특별시 금천구 가산동,1,가산로5길 43,37.4734915,126.8921299,서울시 공공도서관 현황
도서관,금천구립금나래도서관,서울특별시 금천구 시흥동,1,시흥대로73길 70,37.4569051,126.8953686,서울시 공공도서관 현황
도서관,금천구립독산도서관,서울특별시 금천구 독산동,1,독산로54길 114,37.4675797,126.908105,서울시 공공도서관 현황
도서관,금천구립시흥도서관,서울특별시 금천구 시흥동,1,금하로 764 금천종합복지타운(시흥2동주민센터),37.4496304,126.9146113,서울시 공공도서관 현황
보건소,금천구보건소,서울특별시 금천구 시흥동,1,1020 금천구 종합청사,37.4564983,126.8948525,서울시 무더위쉼터(지번주소 일치: 우리은행금천구청지점)
보건소,금천구보건소 한내이음센터 분소,서울특별시 금천구 독산동,1,1088-1 금천한내이음센터 2층,37.457844,126.886866,서울시 무더위쉼터(지번주소 일치: 독산1동주민센터분소)
보건소,금천구보건소 동네방네 마을이음센터 분소,서울특별시 금천구 시흥동,1,961-5 동네방네 마을이음센터 2층,37.438613,126.90431,서울시 무더위쉼터(지번주소 일치: 동네방네마을이음센터(로비))
체육관,독산배드민턴체육관,서울특별시 금천구 독산동,1,독산로54길 102-82,37.4673654,126.9099691,ArcGIS 지오코딩(주소 지점 일치)
체육관,금천탁구회관,서울특별시 금천구 시흥동,1,시흥대로51길 93 (시흥빗물펌프장 3층),37.4505249,126.8966062,OSM Nominatim(도로명+번호 일치)
체육관,독산테니스장,서울특별시 금천구 독산동,1,독산로54길 288,37.4744363,126.9069462,서울시 생활체육포털(ft_idx=674)
